"","Loanscore","Subject..PropertyState.(Intercept)","Subject..PropertyState.factor(total$Subject..PropertyState)[T.AR]","Subject..PropertyState.factor(total$Subject..PropertyState)[T.CT]","Subject..PropertyState.factor(total$Subject..PropertyState)[T.FL]","Subject..PropertyState.factor(total$Subject..PropertyState)[T.GA]","Subject..PropertyState.factor(total$Subject..PropertyState)[T.IA]","Subject..PropertyState.factor(total$Subject..PropertyState)[T.IL]","Subject..PropertyState.factor(total$Subject..PropertyState)[T.IN]","Subject..PropertyState.factor(total$Subject..PropertyState)[T.KY]","Subject..PropertyState.factor(total$Subject..PropertyState)[T.LA]","Subject..PropertyState.factor(total$Subject..PropertyState)[T.MD]","Subject..PropertyState.factor(total$Subject..PropertyState)[T.ME]","Subject..PropertyState.factor(total$Subject..PropertyState)[T.MI]","Subject..PropertyState.factor(total$Subject..PropertyState)[T.MO]","Subject..PropertyState.factor(total$Subject..PropertyState)[T.MS]","Subject..PropertyState.factor(total$Subject..PropertyState)[T.MT]","Subject..PropertyState.factor(total$Subject..PropertyState)[T.NC]","Subject..PropertyState.factor(total$Subject..PropertyState)[T.NH]","Subject..PropertyState.factor(total$Subject..PropertyState)[T.NJ]","Subject..PropertyState.factor(total$Subject..PropertyState)[T.NY]","Subject..PropertyState.factor(total$Subject..PropertyState)[T.OH]","Subject..PropertyState.factor(total$Subject..PropertyState)[T.OK]","Subject..PropertyState.factor(total$Subject..PropertyState)[T.PA]","Subject..PropertyState.factor(total$Subject..PropertyState)[T.SC]","Subject..PropertyState.factor(total$Subject..PropertyState)[T.TN]","Subject..PropertyState.factor(total$Subject..PropertyState)[T.TX]","Subject..PropertyState.factor(total$Subject..PropertyState)[T.VA]","Subject..PropertyState.factor(total$Subject..PropertyState)[T.WA]","Subject..PropertyState.factor(total$Subject..PropertyState)[T.WI]","Subject..PropertyState.factor(total$Subject..PropertyState)[T.WV]","distancemiles","Male.Female.(Intercept)","Male.Female.factor(total$Male.Female)[T.M]","OrigTransdays","Repeat","Lending.Value","Interest.Rate","LTV","Credit.Score","Open.Current.Mortgage.Late","Closed.Past.Mortgage.Late","Foreclosure","Open.Current.Auto.Late","Closed.Past.Auto.Late","Open.Current.Revolving.Late","Closed.Revolving.Late","Open.Current.Education.Late","Closed.Past.Education.Late","Open.Current.Installment.Late","Closed.Past.Installment.Late","Bankrupcy","Charge.offs","Collections","Debt.High.Credit....","DOM","Yearbuilt","X..of.comarable.properties","Comparable.properties.lower.price","X..of.comparable.sales","Comparable.sale.upper.price.range","Rooms","Bedrooms","Square.feet.of.gross.living.area","Indicated.Value.by.Cost.Approach","Indicated.Value.by.Income.Approach","Total...of.Comarable.Sales...prior.4.6.months.","Absorption.Rate...prior.7.12.months.","Total...of.Comparable.Active.listings.prior.7.12.months.","Total...of.Comparable.Active.listings.prior.current.3.months.","Median.Comparable.sales.Days.on.market.prior.current.3.months.","median.Comparable.listings.Days.on.Market.prior.7.12.months.","median.Comparable.listings.Days.on.Market.prior.current.3.months.","Median.Sale.Price.a.s..of.List.Price.prior.7.12.months.","Months.of.Housing.Supply.prior.4.6.months.","Foreclosure.sales","VFS.Internal.Value","WLV","X..of.Properties.currently.owned","Borrower.Rent","Expected.cost.to.Rehab63","Expected.flip.price","Borrower.Age.Group.(Intercept)","Borrower.Age.Group.factor(total$Borrower.Age.Group)[T.2. 25-34]","Borrower.Age.Group.factor(total$Borrower.Age.Group)[T.3. 35-44]","Borrower.Age.Group.factor(total$Borrower.Age.Group)[T.4. 45-54]","Borrower.Age.Group.factor(total$Borrower.Age.Group)[T.5. 55-64]","Borrower.Age.Group.factor(total$Borrower.Age.Group)[T.6. 65+]","Size.(Intercept)","Size.factor(total$Size)[T.3. $20,000-$29,999]","Size.factor(total$Size)[T.4. $30,000-$39,000]","Size.factor(total$Size)[T.5. $40,000-$49,999]","Size.factor(total$Size)[T.5. $50,000-$59,000]","Size.factor(total$Size)[T.6. >$60,000]","Loan.Type.(Intercept)","Loan.Type.factor(total$Loan.Type)[T.Third Party Lending]","Loan.Term.(Intercept)","Loan.Term.factor(total$Loan.Term)[T.15 Yr]","Loan.Term.factor(total$Loan.Term)[T.3 Yr]","Loan.Term.factor(total$Loan.Term)[T.30 Yr]","Loan.Term.factor(total$Loan.Term)[T.5 Yr]","Loan.Term.factor(total$Loan.Term)[T.6 Month]","Loan.Purpose.(Intercept)","Loan.Purpose.factor(total$Loan.Purpose)[T.Refi-Cashout]","Occupant.(Intercept)","Occupant.factor(total$Occupant)[T.tenant]","Occupant.factor(total$Occupant)[T.vacant]","Assignment.Type.(Intercept)","Assignment.Type.factor(total$Assignment.Type)[T.Purchase Transaction]","Assignment.Type.factor(total$Assignment.Type)[T.Refinance Transaction]","Location.(Intercept)","Location.factor(total$Location)[T.suburban]","Location.factor(total$Location)[T.urban]","Built.up.(Intercept)","Built.up.factor(total$Built.up)[T.Over 75%]","Built.up.factor(total$Built.up)[T.under 25%]","Growth.(Intercept)","Growth.factor(total$Growth)[T.slow]","Growth.factor(total$Growth)[T.stable]","Property.Values.(Intercept)","Property.Values.factor(total$Property.Values)[T.increasing]","Property.Values.factor(total$Property.Values)[T.stable]","Demand.Supply.(Intercept)","Demand.Supply.factor(total$Demand.Supply)[T.over supply]","Demand.Supply.factor(total$Demand.Supply)[T.shortage]","Marketing.Time.(Intercept)","Marketing.Time.factor(total$Marketing.Time)[T.Over 6 mths]","Marketing.Time.factor(total$Marketing.Time)[T.Under 3 mths]","Units.(Intercept)","Units.factor(total$Units)[T.2]","Units.factor(total$Units)[T.3]","Units.factor(total$Units)[T.4]","Type.(Intercept)","Type.factor(total$Type)[T.det.]","Type.factor(total$Type)[T.S-Det./End Unit]","Condition.(Intercept)","Condition.factor(total$Condition)[T.c2]","Condition.factor(total$Condition)[T.c3]","Condition.factor(total$Condition)[T.c4]","Condition.factor(total$Condition)[T.c5]","Condition.factor(total$Condition)[T.c6]","Rent.Own.(Intercept)","Rent.Own.factor(total$Rent.Own)[T.Rent]","Full.or.Part.Time.investor.(Intercept)","Full.or.Part.Time.investor.factor(total$Full.or.Part.Time.investor)[T.PT]"
"180",545.4545455,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.67,1,1,516.2631579,3,32000,0.15,0.6875,677,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.25,2.67,1.790233333,149,125,1,49900,7,47100,9,5,2382,46081,44923.97,2,0.5,2,1,26,62,14,1,0,1,23000,-7915,5,1134.71953,15000,120000,1,0,1,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,0,1,0,1,1,1,0,1,0,0,1,0,0,1,0,1,1,1,0,1,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,1,0,1,0
"181",625,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.47,1,1,49,1,67000,0.15,0.53,726,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0.61,99.29,40,13,30000,12,150000,5,3,1142,73322,70268.84,4,0.67,14,13,94,220,65,0.99,9.02,0,61000,14954,9,750,7000,140023.4881,1,0,1,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0,1,1,1,1,0,1,1,0,1,1,0,0,1,0,0,1,0,1,1,0,1,1,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,1,0,1,1
"182",500,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2090.37,1,1,570,6,60000,0.18,0.53333,701,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0.85,124.6,28,3,45000,4,75000,5,3,1131,60657,69000,1,0.83,4.77,1,111,200.51,141,0.98,6.8007,1,48000,5885,5,1050,20000,140023.4881,1,0,1,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1,0,1,0,1,1,1,0,1,0,0,1,0,1,1,0,1,1,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,1,0,1,1
"183",234.0909091,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,327.23,1,1,326,2,128000,0.18,0.53,525,-1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,3,5,1.46,112.79,65,16,112000,64,4e+05,5,2,1190,129072,184686.25,17,5.17,7,16,7,70,39,1,1.23,0,115000,32744,2,1000,20815.75564,140023.4881,1,0,1,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,1,0,1,1,1,0,1,1,0,1,0,1,1,0,1,1,0,0,1,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,1,0,1,0
"184",143.1818182,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.94,1,1,516.2631579,1,45000,0.18,0.54922,460,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,5,1.43,75.46,28,3,36000,9,49000,5,2,1160,54260,48733.65,1,0.83,3,3,33,21,109,1.09,12.12,1,40000,6044,3,850,20815.75564,140023.4881,1,0,0,1,0,0,1,1,0,0,0,0,1,1,1,0,0,0,1,0,1,1,1,1,0,1,0,1,1,1,0,1,1,0,1,0,1,1,0,1,1,0,0,1,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0
"185",537.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,462.99,1,1,516.2631579,1,88000,0.18,0.53,531,1,1,-1,1,-1,1,1,-1,-1,-1,-1,-1,2,2,0.68,106.75,44,3,79900,5,160000,6,3,1800,95488,104096.74,1,0.5,0,3,217,0,39,0.97,0,1,81000,22488,26,1134.71953,20815.75564,155000,1,0,0,0,1,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,1,1,1,0,1,1,0,1,1,1,0,1,1,0,1,0,1,1,0,1,1,0,0,1,0,1,1,0,0,0,1,1,0,1,0,0,0,1,0,1,0,1,1
"186",454.5454545,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1.98,1,1,463,1,63000,0.18,0.42857,628,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,2,0.48,154.05,123,4,60000,4,72000,10,5,2833,177000,69666.41,2,0.33,4,4,0,148,185,0.92,8.96,1,45470,1676.94,1,800,2500,140023.4881,1,1,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1,0,1,0,1,1,0,1,1,1,0,1,0,1,1,0,1,1,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,1,1,1,1
"187",490.9090909,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8.24,1,0,516.2631579,1,145000,0.18,0.53,541,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,3,0,12.21,98.71,34,5,139000,6,228000,5,2,1659,148000,146408.15,1,0.83,13.03,5,0,111.01,41,0.98,14.1192,0,137000,44653,5,1500,20815.75564,140023.4881,1,0,0,0,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,1,0,1,1,0,1,1,1,0,1,0,1,1,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0
"188",500,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,48,1,1,806,3,55000,0.18,0.53636,613,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,2.72,1.0206,16,30,5,45000,10,90500,5,3,921,3500,58118.77,2,1.33,9.06,5,88.13,195.29,85,0.92,9.1213,1,50000,13485,5,1134.71953,20815.75564,59000,1,0,0,1,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,1,1,0,0,1,0,0,1,0,0,1,0,1,1,0,1,1,0,0,1,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,1,0,1,0
"189",500,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7.36,1,1,422,1,80000,0.15,0.53,658,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,4,3,0.91,95.04,59,3,62000,8,90000,7,4,2278,100279.49,82124.81,3,0.5,3,3,157,254,56,1.03,3,1,60000,6237,0,1134.71953,20815.75564,140023.4881,1,0,1,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0,0,1,1,1,1,0,1,1,0,1,1,1,0,1,1,0,1,0,1,1,0,1,1,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,1,1,1,1
